CustomerID,Age,Gender,Income,Category,Spending,TransactionDate
522,22,Male,50146,Groceries,671.19,2023-09-18
738,49,Male,107896,Clothing,978.57,2023-02-25
741,38,Female,53604,Electronics,731.09,2023-12-06
661,56,Male,42451,Travel,933.23,2023-11-08
412,59,Male,27706,Clothing,764.82,2023-06-07
679,34,Female,73703,Clothing,665.16,2023-03-04
627,58,Female,57447,Groceries,820.55,2023-05-14
514,31,Female,49834,Clothing,28.96,2023-06-03
860,43,Male,43982,Groceries,988.54,2023-05-06
137,44,Male,86039,Travel,711.68,2023-08-18
812,28,Female,56116,Groceries,455.56,2023-10-22
77,61,Female,58767,Clothing,609.58,2023-02-20
637,66,Female,58759,Travel,234.26,2023-03-16
974,66,Female,86629,Electronics,782.02,2023-01-06
939,68,Male,27722,Electronics,604.9,2023-07-04
900,68,Female,59444,Clothing,579.61,2023-04-18
281,45,Male,74726,Healthcare,505.36,2023-06-28
884,55,Female,71131,Groceries,992.04,2023-01-16
762,29,Female,43987,Clothing,168.62,2023-11-03
320,37,Male,68287,Groceries,219.12,2023-10-11
550,33,Male,43451,Healthcare,929.34,2023-03-14
175,24,Female,67410,Groceries,222.76,2023-01-30
372,52,Female,36661,Clothing,489.69,2023-08-08
528,38,Male,48648,Healthcare,849.63,2023-04-03
211,32,Female,56114,Clothing,250.96,2023-06-04
236,18,Female,67435,Healthcare,138.78,2023-07-15
102,18,Female,71406,Clothing,490.24,2023-02-23
987,62,Female,79565,Clothing,553.38,2023-07-10
903,46,Male,38905,Travel,770.9,2023-10-29
948,23,Male,66629,Groceries,901.26,2023-04-29
347,65,Female,57220,Healthcare,275.88,2023-03-07
140,52,Female,52741,Groceries,665.07,2023-01-01
622,66,Male,68887,Healthcare,112.23,2023-01-10
500,18,Male,75598,Healthcare,288.24,2023-01-10
371,21,Male,63506,Healthcare,91.91,2023-03-17
199,20,Male,36651,Electronics,816.79,2023-01-19
688,44,Male,55780,Electronics,262.78,2023-04-09
585,43,Male,56864,Electronics,128.69,2023-03-23
902,22,Female,49613,Clothing,283.16,2023-06-11
60,61,Female,70625,Clothing,241.86,2023-04-08
329,35,Female,49470,Clothing,898.39,2023-04-21
97,62,Male,53307,Travel,726.21,2023-10-06
313,69,Female,61580,Groceries,41.43,2023-05-14
975,52,Male,42095,Travel,127.04,2023-04-13
300,54,Female,58524,Travel,804.78,2023-01-01
278,57,Female,75147,Groceries,379.39,2023-05-02
925,28,Male,49373,Healthcare,635.06,2023-02-14
602,38,Female,53438,Travel,570.94,2023-12-24
440,68,Male,55421,Electronics,96.15,2023-10-28
838,27,Female,58642,Travel,201.5,2023-09-08
571,27,Female,78574,Groceries,666.89,2023-08-24
880,68,Male,74293,Groceries,26.04,2023-11-17
262,20,Male,70517,Travel,600.88,2023-10-22
579,19,Male,71300,Electronics,278.92,2023-08-08
24,19,Female,54099,Clothing,398.8,2023-06-16
31,66,Male,69682,Electronics,860.18,2023-05-21
618,40,Male,90091,Electronics,741.48,2023-07-10
11,28,Male,68859,Healthcare,363.32,2023-01-29
222,19,Female,65197,Healthcare,846.42,2023-06-29
821,51,Female,67708,Groceries,341.06,2023-07-15
297,65,Male,48690,Travel,613.6,2023-08-14
55,19,Male,38279,Electronics,524.03,2023-09-24
543,49,Female,68074,Clothing,448.37,2023-04-09
210,41,Male,63581,Electronics,880.39,2023-12-16
605,54,Male,85904,Clothing,405.52,2023-01-30
693,55,Male,71913,Groceries,661.58,2023-04-05
663,59,Male,59587,Clothing,934.41,2023-02-04
867,22,Female,46089,Travel,473.0,2023-05-02
71,23,Male,59316,Clothing,505.11,2023-12-25
544,18,Male,76087,Healthcare,268.44,2023-10-25
108,61,Female,42624,Healthcare,883.73,2023-02-04
494,51,Female,85675,Travel,454.55,2023-03-11
591,51,Male,42061,Clothing,600.12,2023-11-11
742,33,Female,77226,Groceries,352.35,2023-03-26
293,69,Male,71383,Clothing,838.99,2023-11-23
290,33,Female,68458,Electronics,708.09,2023-11-12
653,52,Female,62113,Healthcare,842.5,2023-08-12
40,69,Female,62799,Travel,126.38,2023-07-19
590,43,Female,65920,Clothing,306.94,2023-08-02
308,20,Male,74111,Healthcare,922.09,2023-07-07
680,55,Male,47952,Travel,86.04,2023-06-14
67,67,Female,87699,Healthcare,545.5,2023-11-24
276,56,Male,40153,Healthcare,678.04,2023-03-08
68,57,Female,43948,Travel,699.47,2023-02-21
319,57,Female,59705,Travel,662.45,2023-11-30
549,41,Male,90843,Travel,378.78,2023-03-15
999,35,Male,51567,Electronics,874.88,2023-07-28
715,36,Female,66548,Electronics,754.87,2023-12-18
754,31,Female,47304,Groceries,129.18,2023-05-12
328,63,Male,60608,Groceries,39.73,2023-06-09
383,54,Female,68374,Electronics,91.45,2023-04-08
452,39,Female,68998,Groceries,871.96,2023-10-24
523,29,Female,44296,Clothing,933.87,2023-10-03
219,69,Male,61179,Healthcare,901.95,2023-04-27
788,45,Male,59656,Groceries,587.42,2023-03-23
437,33,Female,60155,Groceries,380.8,2023-03-31
765,33,Female,58805,Travel,759.71,2023-07-20
89,38,Female,49854,Electronics,794.83,2023-09-17
64,31,Female,73086,Clothing,561.31,2023-03-06
827,23,Female,66147,Groceries,762.56,2023-09-20
